"locus";"allele";"area"
"D3S1358";15;1989
"D3S1358";16;739
"D3S1358";18;1550
"vWA";15;1318
"vWA";16;621
"vWA";18;793
"vWA";19;1200
"FGA";21;2414
"FGA";22;1461
"FGA";23;687
"D8S1179";12;1431
"D8S1179";13;603
"D8S1179";14;560
"D8S1179";16;986
"D21S11";28;1410
"D21S11";30;1199
"D21S11";32.2;1506
"D18S51";12;471
"D18S51";13;386
"D18S51";17;1181
"D18S51";18;1029
"D5S818";12;2561
"D5S818";13;463
"D13S317";11;1607
"D13S317";12;834
"D7S820";8;723
"D7S820";10;1203
"D7S820";11;289
"D16S539";11;1262
"D16S539";12;515
"D16S539";13;1253
"D16S539";14;514
"TH01";5;944
"TH01";6;935
"TH01";8;633
"TPOX";8;1257
"TPOX";10;984
"TPOX";11;447
"CSF1PO";10;482
"CSF1PO";11;697
"CSF1PO";12;617
